@@,name,position
->,Situmbeko Musokotwane,Finance Minister of Zambia->Minister - Finance and National Planning
->,Micheal Katambo->Makozo Chikote,Minister - Fisheries and Livestock
->,Margaret Mwanakatwe->Chipoka Mulenga,"Minister - Commerce, Trade and Industry"
->,Joyce Nonde-Simukoko->Brenda Mwika Tambatamba,Minister - Labour and Social Security
->,Jean Kapata->Elijah Julaki Muchima,Minister - Lands and Natural Resources
->,Dora Siliya->Reuben Mtolo Phiri,Minister - Agriculture
->,David Mabumba->Peter Chibwe Kapala,Minister - Energy
->,Christopher Yaluma->Paul C C Kabuswe,Minister - Mines and Minerals Development
->,Chitalu Chilufya->Sylvia Masebo,Minister - Health
---,Vincent Mwale,Minister - Local Government
---,Sylvia Chalikosa,Minister - Office of the Vice President
---,Stephen Kampyongo,Minister - Home Affairs
---,Ronald Chitotela,Minister - Housing and Infrastructure Development
---,Nkandu Luo,Minister - Higher Education
---,Moses Mawere,"Minister - Youth, Sport and Child Development"
---,Matthew Nkhuwa,Minister - Works and Supply
---,Lucky Mulusa,Minister - National Development and Planning
---,Lloyd Kaziya,"Minister - Water Development, Sanitation and Environmental Protection"
---,Lawrence Sichalwe,Minister - Chiefs and Traditional Affairs
---,Kampamba Chilumba,Minister - Information and Broadcasting
---,Harry Kalaba,Minister of Foreign Affairs
---,Godfridah Sumaili,Minister - Religious Affairs and National Guidance
---,Given Lubinda,Justice Minister of Zambia
---,Felix Mutati,Finance Minister of Zambia
---,Emerine Kabanshi,Minister - Community Development and Social Welfare
---,Dennis Wanchinga,Minister - General Education
---,Davies Chama,Minister - Defense
---,Chomba Sikazwe,Minister - Presidential Affairs
---,Charles Banda,Minister - Tourism and Arts
---,Brian Mushimba,Minister - Transport and Communication
+++,Stanley Kasongo Kakubo,Minister - Foreign Affairs and International Cooperation
+++,Rhodine Sikumba,Minister - Tourism
+++,Mulambo Hamakuni Haimbe,Minister - Justice
+++,Mike Mposha,Minister - Water Development and Sanitation
+++,Jacob Jack Mwiimbu,Minister - Home Affairs and Internal Security
+++,Gary G Nkombo,Minister - Local Government and Rural Development
+++,Frank Tayali,Minister - Transport and Logistics
+++,Felix C Mutati,Minister - Technology and Science
+++,Elvis Chishala Nkandu,"Minister - Youth, Sport and Arts"
+++,Elias Mubanga,Minister - Small and Medium Enterprises Development
+++,Douglas Munsaka Syakalima,Minister - Education
+++,Doreen Mwamba,Minister - Community Development and Social Services
+++,Collins Nzovu,Minister - Green Economy and Environment
+++,Chushi C Kasanda,Minister - Information and Media
+++,Charles Milupi,"Minister - Infrastructure, Housing Urban and Development"
+++,Ambrose Lwiji Lufuma,Minister - Defence
