pageid,title,wikidata,label
7062601,Hakainde Hichilema,Q717185,Hakainde Hichilema
26839829,Situmbeko Musokotwane,Q7532178,Situmbeko Musokotwane
51705357,Felix Mutati,Q1403691,Felix Mutati
55812115,Sylvia Masebo,Q2374229,Sylvia Masebo
56727313,Nelly Mutti,Q108395814,Nelly Mutti
56938268,Stanley Kakubo,Q45385044,Stanley Kakubo
67696571,Mutale Nalumango,Q106921003,Mutale Nalumango
68638262,Dennis Sitali Alibuzwi,Q108397968,Dennis Sitali Alibuzwi
69411963,Brenda Mwika Tambatamba,Q45384153,Brenda Tambatamba
70108334,Denny Kalyalya,Q28718255,Denny Kalyalya
70809318,Gary Nkombo,Q45384471,Gary Nkombo
